treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,interval,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub,subset
Ungrazed,66,4.189654757177941,0.47688811282902743,8.12403840463596,p01,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,121,4.795790553861204,2.2060454253094908,11,p01,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,35,3.555348090060842,-0.4977278269326883,5.916079783099616,p01,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,59,4.077537460854872,0.25681354578605936,7.681145747868608,p01,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,49,3.8918203185187896,-0.057578692846752155,7,p01,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,p01,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,p02,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,108,4.682131236383479,1.797335515086836,10.392304845413264,p02,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,33,3.49650759176951,-0.5606062746592506,5.744562646538029,p02,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,36,3.5835189662338873,-0.46628860306940717,6,p02,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,57,4.04305128537841,0.19393509805949707,7.54983443527075,p02,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,76,4.330733353444225,0.791280351461839,8.717797887081348,p02,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,71,4.262679891125822,0.6340842321454332,8.426149773176359,p03,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,38,3.6375861860421748,-0.40341015534284486,6.164414002968976,p03,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,9,2.1972246884473243,-1.3151476473779984,3,p03,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p03,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,23,3.13549425940741,-0.8749985132920621,4.795831523312719,p03,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p03,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,86,4.454347307881415,1.1056725900946505,9.273618495495704,p04,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,77,4.3438054348406965,0.8227195753251202,8.774964387392123,p04,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,73,4.290459454847021,0.6969626798719956,8.54400374531753,p04,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,44,3.7841896566455335,-0.2147748121631579,6.6332495807108,p04,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,82,4.406719259459375,0.979915694641526,9.055385138137417,p04,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,64,4.1588830989846715,0.4140096651024652,8,p04,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,51,3.9318256523321686,0.005299754879810155,7.14142842854285,p05,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,92,4.521788587918605,1.2943079332743375,9.591663046625438,p05,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,48,3.871201031741224,-0.08901791671003331,6.928203230275509,p05,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,32,3.465735934049726,-0.5920454985225317,5.656854249492381,p05,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,50,3.912023025428146,-0.026139468983470998,7.0710678118654755,p05,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,41,3.7135720910945516,-0.30909248375300136,6.4031242374328485,p05,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,p06,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,p06,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,50,3.912023025428146,-0.026139468983470998,7.0710678118654755,p06,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,71,4.262679891125822,0.6340842321454332,8.426149773176359,p06,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,70,4.248495256335073,0.6026450082821521,8.366600265340756,p06,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,77,4.3438054348406965,0.8227195753251202,8.774964387392123,p06,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,63,4.143134742264548,0.382570441239184,7.937253933193772,p07,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,91,4.510859517505861,1.2628687094110562,9.539392014169456,p07,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,34,3.5263605540279257,-0.5291670507959695,5.830951894845301,p07,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,33,3.49650759176951,-0.5606062746592506,5.744562646538029,p07,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,64,4.1588830989846715,0.4140096651024652,8,p07,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,53,3.970291932420046,0.06817820260637246,7.280109889280518,p07,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,98,4.584967488874653,1.4829432764540245,9.899494936611665,p08,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,98,4.584967488874653,1.4829432764540245,9.899494936611665,p08,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,69,4.2341065190900125,0.5712057844188709,8.306623862918075,p08,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,71,4.262679891125822,0.6340842321454332,8.426149773176359,p08,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,77,4.3438054348406965,0.8227195753251202,8.774964387392123,p08,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,88,4.477336825841843,1.1685510378212127,9.38083151964686,p08,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p09,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,91,4.510859517505861,1.2628687094110562,9.539392014169456,p09,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,27,3.2958369030413657,-0.7492416178389375,5.196152422706632,p09,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,43,3.761200138949376,-0.24621403602643907,6.557438524302,p09,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,70,4.248495256335073,0.6026450082821521,8.366600265340756,p09,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,66,4.189654757177941,0.47688811282902743,8.12403840463596,p09,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,107,4.6728288438077,1.7658962912235547,10.344080432788601,p10,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,88,4.477336825841843,1.1685510378212127,9.38083151964686,p10,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,52,3.9512437378121965,0.03673897874309131,7.211102550927978,p10,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,37,3.610917939671251,-0.434849379206126,6.082762530298219,p10,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,70,4.248495256335073,0.6026450082821521,8.366600265340756,p10,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,45,3.8066625119925415,-0.18333558829987676,6.708203932499369,p10,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,62,4.127134401174124,0.35113121737590286,7.874007874011811,p11,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,93,4.532599503905944,1.3257471571376187,9.643650760992955,p11,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,29,3.367295864469232,-0.6863631701123752,5.385164807134504,p11,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,66,4.189654757177941,0.47688811282902743,8.12403840463596,p11,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,55,4.007333203414289,0.13105665033293476,7.416198487095663,p11,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,80,4.382026647173881,0.9170372469149636,8.94427190999916,p11,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,92,4.521788587918605,1.2943079332743375,9.591663046625438,p12,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,91,4.510859517505861,1.2628687094110562,9.539392014169456,p12,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,11,2.397895363707457,-1.252269199651436,3.3166247903554,p12,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,22,3.09104249881286,-0.9064377371553433,4.69041575982343,p12,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,47,3.850147622986654,-0.12045714057331446,6.855654600401044,p12,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,25,3.2188758648682,-0.8121200655654999,5,p12,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,86,4.454347307881415,1.1056725900946505,9.273618495495704,p13,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,155,5.043425123370859,3.2749790366610503,12.449899597988733,p13,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,24,3.1780538720146114,-0.843559289428781,4.898979485566356,p13,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,42,3.7376696420928917,-0.2776532598897202,6.48074069840786,p13,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,36,3.5835189662338873,-0.46628860306940717,6,p13,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,5,1.6094381124340804,-1.440904542831123,2.23606797749979,p13,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,131,4.875197330834739,2.5204376639423023,11.445523142259598,p14,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,121,4.795790553861204,2.2060454253094908,11,p14,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,59,4.077537460854872,0.25681354578605936,7.681145747868608,p14,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,80,4.382026647173881,0.9170372469149636,8.94427190999916,p14,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,86,4.454347307881415,1.1056725900946505,9.273618495495704,p14,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,84,4.430816810748075,1.0427941423680882,9.16515138991168,p14,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,56,4.025351708592292,0.16249587419621592,7.483314773547883,p15,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,51,3.9318256523321686,0.005299754879810155,7.14142842854285,p15,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,19,2.944439031798018,-1.0007554087451866,4.358898943540674,p15,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,25,3.2188758648682,-0.8121200655654999,5,p15,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,14,2.6390574010438272,-1.1579515280615926,3.7416573867739413,p15,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p15,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,110,4.700480374883325,1.8602139628133982,10.488088481701515,p16,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,100,4.605170195988091,1.5458217241805867,10,p16,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,68,4.219507719881989,0.5397665605555898,8.246211251235321,p16,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,59,4.077537460854872,0.25681354578605936,7.681145747868608,p16,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,43,3.761200138949376,-0.24621403602643907,6.557438524302,p16,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,9,2.1972246884473243,-1.3151476473779984,3,p16,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,74,4.304065106717683,0.7284019037352767,8.602325267042627,p17,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,83,4.418840619844791,1.011354918504807,9.1104335791443,p17,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,67,4.204692634316339,0.5083273366923086,8.18535277187245,p17,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,57,4.04305128537841,0.19393509805949707,7.54983443527075,p17,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,75,4.317488126869644,0.7598411275985578,8.660254037844387,p17,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,51,3.9318256523321686,0.005299754879810155,7.14142842854285,p17,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,109,4.691347891403455,1.828774738950117,10.44030650891055,p18,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,95,4.553876902126857,1.388625604864181,9.746794344808963,p18,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,68,4.219507719881989,0.5397665605555898,8.246211251235321,p18,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,22,3.09104249881286,-0.9064377371553433,4.69041575982343,p18,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,78,4.356708839510104,0.8541587991884013,8.831760866327848,p18,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,7,1.945910291912446,-1.3780260951045606,2.6457513110645907,p18,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,101,4.615120526742249,1.5772609480438677,10.04987562112089,p19,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,83,4.418840619844791,1.011354918504807,9.1104335791443,p19,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,74,4.304065106717683,0.7284019037352767,8.602325267042627,p19,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,50,3.912023025428146,-0.026139468983470998,7.0710678118654755,p19,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,p19,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Grazed,84,4.430816810748075,1.0427941423680882,9.16515138991168,p19,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
Ungrazed,109,4.691347891403455,1.828774738950117,10.44030650891055,p20,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Grazed,85,4.442651268255022,1.0742333662313694,9.219544457292887,p20,p,2019,New plot,Goat,y4,b0,n1,o0,t0,abun_non,non
Ungrazed,69,4.2341065190900125,0.5712057844188709,8.306623862918075,p20,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Grazed,35,3.555348090060842,-0.4977278269326883,5.916079783099616,p20,p,2021,Two years,Sheep,y6,b2,n0,o0,t1,abun_non,non
Ungrazed,88,4.477336825841843,1.1685510378212127,9.38083151964686,p20,p,2022,One year,Sheep,y7,b1,n0,o1,t0,abun_non,non
