treatment,value,value_log,value_std,value_sqrt,plot_name,plot_type,year,grazer,f_year,f_break,f_new,f_one_yr,f_two_yr,met_sub
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p01,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p01,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p01,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p01,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,4,1.3862946111198593,-1.3631840037349967,2,p01,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p01,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p02,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p02,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p02,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p02,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p02,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p02,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p03,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p03,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p03,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p03,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p03,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,4,1.3862946111198593,-1.3631840037349967,2,p03,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p04,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p04,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p04,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p04,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p04,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p04,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p05,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p05,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p05,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p05,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p05,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p05,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p06,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p06,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,4,1.3862946111198593,-1.3631840037349967,2,p06,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p06,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p06,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p06,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p07,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p07,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p07,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p07,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p07,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p07,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p08,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p08,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p08,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p08,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p08,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p08,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p09,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,14,2.6390574010438272,2.612769340492077,3.7416573867739413,p09,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,4,1.3862946111198593,-1.3631840037349967,2,p09,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p09,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p09,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p09,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p10,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,16,2.772588784739779,3.4079600093374913,4,p10,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,15,2.7080502677688743,3.010364674914784,3.872983346207417,p10,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p10,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,10,2.3025851929940404,1.0223880028012473,3.1622776601683795,p10,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,9,2.1972246884473243,0.62479266837854,3,p10,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p11,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p11,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,5,1.6094381124340804,-0.9655886693122894,2.23606797749979,p11,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p11,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,6,1.7917596358947079,-0.567993334889582,2.449489742783178,p11,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p11,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Ungrazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p12,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Grazed,11,2.397895363707457,1.4199833372239548,3.3166247903554,p12,p,2019,Goat,y4,b0,n1,o0,t0,rich_non
Ungrazed,9,2.1972246884473243,0.62479266837854,3,p12,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Grazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p12,p,2021,Sheep,y6,b2,n0,o0,t1,rich_non
Ungrazed,7,1.945910291912446,-0.17039800046687467,2.6457513110645907,p12,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
Grazed,8,2.079441666679828,0.22719733395583266,2.8284271247461903,p12,p,2022,Sheep,y7,b1,n0,o1,t0,rich_non
