orig_name,taxonomic_name,genus_species,f_native,f_forb,include_plant,has_mult_taxa,is_native,is_forb
Achillea millefolium,Achillea millefolium,Achillea millefolium,n1,f1,TRUE,FALSE,TRUE,TRUE
Achyrachaena mollis,Achyrachaena mollis,Achyrachaena mollis,n1,f1,TRUE,FALSE,TRUE,TRUE
Acmipson americanus var. amer.,Acmispon americanus var. americanus,Acmispon americanus,n1,f1,TRUE,TRUE,TRUE,TRUE
Acmipson americanus var. americanus,Acmispon americanus var. americanus,Acmispon americanus,n1,f1,TRUE,TRUE,TRUE,TRUE
Acmispon micranthus,Acmispon micranthus,Acmispon micranthus,n1,f1,TRUE,FALSE,TRUE,TRUE
Acmispon parviflorus,Acmispon parviflorus,Acmispon parviflorus,n1,f1,TRUE,FALSE,TRUE,TRUE
Acmispon wrangelianus,Acmispon wrangelianus,Acmispon wrangelianus,n1,f1,TRUE,FALSE,TRUE,TRUE
Adiantum jordanii,Adiantum jordanii,Adiantum jordanii,n1,f1,TRUE,FALSE,TRUE,TRUE
Adiantum jordanii (2020),Adiantum jordanii,Adiantum jordanii,n1,f1,TRUE,FALSE,TRUE,TRUE
Aegilops triuncialis,Aegilops triuncialis,Aegilops triuncialis,n0,f0,TRUE,FALSE,FALSE,FALSE
Aesculus californica,Aesculus californica,Aesculus californica,n1,f0,TRUE,FALSE,TRUE,FALSE
Aesculus californica (native),Aesculus californica,Aesculus californica,n1,f0,TRUE,FALSE,TRUE,FALSE
Agoseris grandiflora,Agoseris grandiflora,Agoseris grandiflora,n1,f1,TRUE,FALSE,TRUE,TRUE
Agoseris grandiflora (2020),Agoseris grandiflora,Agoseris grandiflora,n1,f1,TRUE,FALSE,TRUE,TRUE
Agoseris heterophylla,Agoseris heterophylla,Agoseris heterophylla,n1,f1,TRUE,TRUE,TRUE,TRUE
Agoseris heterophylla var. het.,Agoseris heterophylla var. heterophylla,Agoseris heterophylla,n1,f1,TRUE,TRUE,TRUE,TRUE
Agoseris heterophylla var. heterophylla,Agoseris heterophylla var. heterophylla,Agoseris heterophylla,n1,f1,TRUE,TRUE,TRUE,TRUE
Agoseris retrorsa,Agoseris retrorsa,Agoseris retrorsa,n1,f1,TRUE,FALSE,TRUE,TRUE
Agrostis pallens (2020),Agrostis pallens,Agrostis pallens,n1,f0,TRUE,FALSE,TRUE,FALSE
Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,n0,f0,TRUE,FALSE,FALSE,FALSE
Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,n0,f0,TRUE,FALSE,FALSE,FALSE
Alopecurus saccatus,Alopecurus saccatus,Alopecurus saccatus,n1,f0,TRUE,FALSE,TRUE,FALSE
Alopecurus saccatus (grass),Alopecurus saccatus,Alopecurus saccatus,n1,f0,TRUE,FALSE,TRUE,FALSE
Amsinckia intermedia,Amsinckia intermedia,Amsinckia intermedia,n1,f1,TRUE,FALSE,TRUE,TRUE
Amsinckia intermedia (2021),Amsinckia intermedia,Amsinckia intermedia,n1,f1,TRUE,FALSE,TRUE,TRUE
Anagallis arvensis,Anagallis arvensis,Anagallis arvensis,n0,f1,TRUE,FALSE,FALSE,TRUE
Aphanes occidentalis,Aphanes occidentalis,Aphanes occidentalis,n1,f1,TRUE,FALSE,TRUE,TRUE
Apiastrum angustifolium,Apiastrum angustifolium,Apiastrum angustifolium,n1,f1,TRUE,FALSE,TRUE,TRUE
Arctostaphylos manzanita,Arctostaphylos manzanita,Arctostaphylos manzanita,n1,f0,TRUE,FALSE,TRUE,FALSE
Astragalus gambelianus,Astragalus gambelianus,Astragalus gambelianus,n1,f0,TRUE,FALSE,TRUE,FALSE
Athysanus pusillus,Athysanus pusillus,Athysanus pusillus,n1,f1,TRUE,FALSE,TRUE,TRUE
Avena barbata,Avena barbata,Avena barbata,n0,f0,TRUE,FALSE,FALSE,FALSE
Avena barbata  ,Avena barbata,Avena barbata,n0,f0,TRUE,FALSE,FALSE,FALSE
Avena barbata     ,Avena barbata,Avena barbata,n0,f0,TRUE,FALSE,FALSE,FALSE
Brachypodium distachyon,Brachypodium distachyon,Brachypodium distachyon,n0,f0,TRUE,FALSE,FALSE,FALSE
Briza minor,Briza minor,Briza minor,n0,f0,TRUE,FALSE,FALSE,FALSE
Briza minor (2021),Briza minor,Briza minor,n0,f0,TRUE,FALSE,FALSE,FALSE
Brodiaea elegans,Brodiaea elegans,Brodiaea elegans,n1,f1,TRUE,FALSE,TRUE,TRUE
Brodiaea sp.,Brodiaea spp.,Brodiaea spp.,n1,f1,FALSE,FALSE,TRUE,TRUE
Brodiaea sp. ,Brodiaea spp.,Brodiaea spp.,n1,f1,FALSE,FALSE,TRUE,TRUE
Brodiaea sp. *,Brodiaea spp.,Brodiaea spp.,n1,f1,FALSE,FALSE,TRUE,TRUE
Brodiaea sp. *,Brodiaea spp.,Brodiaea spp.,n1,f1,FALSE,FALSE,TRUE,TRUE
Bromus carinatus var. car.,Bromus carinatus var. carinatus,Bromus carinatus,n1,f0,TRUE,TRUE,TRUE,FALSE
Bromus carinatus var. carinatus,Bromus carinatus var. carinatus,Bromus carinatus,n1,f0,TRUE,TRUE,TRUE,FALSE
Bromus carinatus var. carinatus (grass),Bromus carinatus var. carinatus,Bromus carinatus,n1,f0,TRUE,TRUE,TRUE,FALSE
Bromus diandrus,Bromus diandrus,Bromus diandrus,n0,f0,TRUE,FALSE,FALSE,FALSE
Bromus hordeaceus,Bromus hordeaceus,Bromus hordeaceus,n0,f0,TRUE,FALSE,FALSE,FALSE
Bromus madritensis ssp. madritensis,Bromus madritensis ssp. madritensis,Bromus madritensis,n0,f0,TRUE,TRUE,FALSE,FALSE
Bromus sterilis,Bromus sterilis,Bromus sterilis,n0,f0,TRUE,FALSE,FALSE,FALSE
Bromus sterilis (20),Bromus sterilis,Bromus sterilis,n0,f0,TRUE,FALSE,FALSE,FALSE
Bromus sterilis (2020),Bromus sterilis,Bromus sterilis,n0,f0,TRUE,FALSE,FALSE,FALSE
Cadamine oligosperma,Cardamine oligosperma,Cardamine oligosperma,n1,f1,TRUE,FALSE,TRUE,TRUE
Callitriche heterophylla,Callitriche heterophylla,Callitriche heterophylla,n1,f1,TRUE,FALSE,TRUE,TRUE
