index,index_g,index_g_n_f,plot_type,plot_name,year,treatment,native,forb,grazer,interval,f_grazed,f_native,f_forb,f_sheep,f_interval,f_break,f_one_yr,f_two_yr,f_year,in_v1
w_406_2016,w_406_2016_g1,w_406_2016_g1_n0_f0,w,406,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_406_2016,w_406_2016_g1,w_406_2016_g1_n0_f1,w,406,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_406_2016,w_406_2016_g1,w_406_2016_g1_n1_f0,w,406,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_406_2016,w_406_2016_g1,w_406_2016_g1_n1_f1,w,406,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_406_2016,w_406_2016_g0,w_406_2016_g0_n0_f0,w,406,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_406_2016,w_406_2016_g0,w_406_2016_g0_n0_f1,w,406,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_406_2016,w_406_2016_g0,w_406_2016_g0_n1_f0,w,406,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_406_2016,w_406_2016_g0,w_406_2016_g0_n1_f1,w,406,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g1,w_408_2016_g1_n0_f0,w,408,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g1,w_408_2016_g1_n0_f1,w,408,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g1,w_408_2016_g1_n1_f0,w,408,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g1,w_408_2016_g1_n1_f1,w,408,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g0,w_408_2016_g0_n0_f0,w,408,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g0,w_408_2016_g0_n0_f1,w,408,2016,Ungrazed,Non-native,Forb,Goat,New plot,g0,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g0,w_408_2016_g0_n1_f0,w,408,2016,Ungrazed,Native,Not forb,Goat,New plot,g0,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_408_2016,w_408_2016_g0,w_408_2016_g0_n1_f1,w,408,2016,Ungrazed,Native,Forb,Goat,New plot,g0,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_409_2016,w_409_2016_g1,w_409_2016_g1_n0_f0,w,409,2016,Grazed,Non-native,Not forb,Goat,New plot,g1,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
w_409_2016,w_409_2016_g1,w_409_2016_g1_n0_f1,w,409,2016,Grazed,Non-native,Forb,Goat,New plot,g1,n0,f1,s0,i0,b0,o0,t0,y1,FALSE
w_409_2016,w_409_2016_g1,w_409_2016_g1_n1_f0,w,409,2016,Grazed,Native,Not forb,Goat,New plot,g1,n1,f0,s0,i0,b0,o0,t0,y1,FALSE
w_409_2016,w_409_2016_g1,w_409_2016_g1_n1_f1,w,409,2016,Grazed,Native,Forb,Goat,New plot,g1,n1,f1,s0,i0,b0,o0,t0,y1,FALSE
w_409_2016,w_409_2016_g0,w_409_2016_g0_n0_f0,w,409,2016,Ungrazed,Non-native,Not forb,Goat,New plot,g0,n0,f0,s0,i0,b0,o0,t0,y1,FALSE
