orig_plot,plot_type,plot_name,f_grazed,month,treatment
406E_4,w,406,g0,4,Ungrazed
406E_5,w,406,g0,5,Ungrazed
408E_4,w,408,g0,4,Ungrazed
408E_5,w,408,g0,5,Ungrazed
409E_4,w,409,g0,4,Ungrazed
409E_5,w,409,g0,5,Ungrazed
410E_4,w,410,g0,4,Ungrazed
410E_5,w,410,g0,5,Ungrazed
411E_4,w,411,g0,4,Ungrazed
411E_5,w,411,g0,5,Ungrazed
412E_4,w,412,g0,4,Ungrazed
412E_5,w,412,g0,5,Ungrazed
413E_4,w,413,g0,4,Ungrazed
413E_5,w,413,g0,5,Ungrazed
415E_4,w,415,g0,4,Ungrazed
415E_5,w,415,g0,5,Ungrazed
416E_4,w,416,g0,4,Ungrazed
416E_5,w,416,g0,5,Ungrazed
417E_4,w,417,g0,4,Ungrazed
417E_5,w,417,g0,5,Ungrazed
418E_4,w,418,g0,4,Ungrazed
418E_5,w,418,g0,5,Ungrazed
419E_5,w,419,g0,5,Ungrazed
419E_4,w,419,g0,4,Ungrazed
421E_4,w,421,g0,4,Ungrazed
421E_5,w,421,g0,5,Ungrazed
422E_4,w,422,g0,4,Ungrazed
422E_5,w,422,g0,5,Ungrazed
422_E_4,w,422,g0,4,Ungrazed
422_E_5,w,422,g0,5,Ungrazed
423E_4,w,423,g0,4,Ungrazed
423E_5,w,423,g0,5,Ungrazed
425_E_4,w,425,g0,4,Ungrazed
425_E_5,w,425,g0,5,Ungrazed
425E_4,w,425,g0,4,Ungrazed
425E_5,w,425,g0,5,Ungrazed
426_E_4,w,426,g0,4,Ungrazed
426_E_5,w,426,g0,5,Ungrazed
426E_4,w,426,g0,4,Ungrazed
426E_5,w,426,g0,5,Ungrazed
427E_4,w,427,g0,4,Ungrazed
427E_5,w,427,g0,5,Ungrazed
428E_4,w,428,g0,4,Ungrazed
428E_5,w,428,g0,5,Ungrazed
429_E_4,w,429,g0,4,Ungrazed
429_E_5,w,429,g0,5,Ungrazed
429E_4,w,429,g0,4,Ungrazed
429E_5,w,429,g0,5,Ungrazed
430_E_4,w,430,g0,4,Ungrazed
430_E_5,w,430,g0,5,Ungrazed
431_E_4,w,431,g0,4,Ungrazed
431_E_5,w,431,g0,5,Ungrazed
431E_4,w,431,g0,4,Ungrazed
431E_5,w,431,g0,5,Ungrazed
432E_5,w,432,g0,5,Ungrazed
432E_4,w,432,g0,4,Ungrazed
433E_4,w,433,g0,4,Ungrazed
434E_4,w,434,g0,4,Ungrazed
434E_5,w,434,g0,5,Ungrazed
435E_4,w,435,g0,4,Ungrazed
435E_5,w,435,g0,5,Ungrazed
436E_4,w,436,g0,4,Ungrazed
436E_5,w,436,g0,5,Ungrazed
437E_5,w,437,g0,5,Ungrazed
437E_4,w,437,g0,4,Ungrazed
438E_4,w,438,g0,4,Ungrazed
438E_5,w,438,g0,5,Ungrazed
439E_4,w,439,g0,4,Ungrazed
439E_5,w,439,g0,5,Ungrazed
442E_4,w,442,g0,4,Ungrazed
442E_5,w,442,g0,5,Ungrazed
443_E_4,w,443,g0,4,Ungrazed
443_E_5,w,443,g0,5,Ungrazed
443E_4,w,443,g0,4,Ungrazed
443E_5,w,443,g0,5,Ungrazed
444E_4,w,444,g0,4,Ungrazed
444E_5,w,444,g0,5,Ungrazed
447E_4,w,447,g0,4,Ungrazed
447E_5,w,447,g0,5,Ungrazed
448_E_4,w,448,g0,4,Ungrazed
448_E_5,w,448,g0,5,Ungrazed
448E_4,w,448,g0,4,Ungrazed
448E_5,w,448,g0,5,Ungrazed
449E_4,w,449,g0,4,Ungrazed
449E_5,w,449,g0,5,Ungrazed
453E_4,w,453,g0,4,Ungrazed
453E_5,w,453,g0,5,Ungrazed
455_E_4,w,455,g0,4,Ungrazed
455_E_5,w,455,g0,5,Ungrazed
455E_4,w,455,g0,4,Ungrazed
455E_5,w,455,g0,5,Ungrazed
456E_4,w,456,g0,4,Ungrazed
456E_5,w,456,g0,5,Ungrazed
457E_4,w,457,g0,4,Ungrazed
457E_5,w,457,g0,5,Ungrazed
458_E_4,w,458,g0,4,Ungrazed
458_E_5,w,458,g0,5,Ungrazed
458E_4,w,458,g0,4,Ungrazed
458E_5,w,458,g0,5,Ungrazed
459_E_4,w,459,g0,4,Ungrazed
459_E_5,w,459,g0,5,Ungrazed
459E_4,w,459,g0,4,Ungrazed
459E_5,w,459,g0,5,Ungrazed
460_E_4,w,460,g0,4,Ungrazed
460_E_5,w,460,g0,5,Ungrazed
460E_4,w,460,g0,4,Ungrazed
460E_5,w,460,g0,5,Ungrazed
461_E_4,w,461,g0,4,Ungrazed
461_E_5,w,461,g0,5,Ungrazed
461E_4,w,461,g0,4,Ungrazed
461E_5,w,461,g0,5,Ungrazed
462E_4,w,462,g0,4,Ungrazed
463E_4,w,463,g0,4,Ungrazed
464_E_4,w,464,g0,4,Ungrazed
464_E_5,w,464,g0,5,Ungrazed
464E_4,w,464,g0,4,Ungrazed
464E_5,w,464,g0,5,Ungrazed
465E_4,w,465,g0,4,Ungrazed
465E_5,w,465,g0,5,Ungrazed
466E_4,w,466,g0,4,Ungrazed
467E_4,w,467,g0,4,Ungrazed
468E_4,w,468,g0,4,Ungrazed
469_E_4,w,469,g0,4,Ungrazed
469_E_5,w,469,g0,5,Ungrazed
469E_4,w,469,g0,4,Ungrazed
469E_5,w,469,g0,5,Ungrazed
470E_4,w,470,g0,4,Ungrazed
470E_5,w,470,g0,5,Ungrazed
471E_4,w,471,g0,4,Ungrazed
472E_4,w,472,g0,4,Ungrazed
473E_4,w,473,g0,4,Ungrazed
474E_4,w,474,g0,4,Ungrazed
PER P1_E_4,p,p01,g0,4,Ungrazed
PER P1_E_5,p,p01,g0,5,Ungrazed
PER P2_E_4,p,p02,g0,4,Ungrazed
PER P2_E_5,p,p02,g0,5,Ungrazed
PER P3_E_4,p,p03,g0,4,Ungrazed
PER P3_E_5,p,p03,g0,5,Ungrazed
PER P4_E_4,p,p04,g0,4,Ungrazed
PER P4_E_5,p,p04,g0,5,Ungrazed
PER P5_E_4,p,p05,g0,4,Ungrazed
PER P5_E_5,p,p05,g0,5,Ungrazed
PER P6_E_4,p,p06,g0,4,Ungrazed
PER P6_E_5,p,p06,g0,5,Ungrazed
PER P7_E_4,p,p07,g0,4,Ungrazed
PER P7_E_5,p,p07,g0,5,Ungrazed
PER P8_E_4,p,p08,g0,4,Ungrazed
PER P8_E_5,p,p08,g0,5,Ungrazed
PER P9_E_4,p,p09,g0,4,Ungrazed
PER P9_E_5,p,p09,g0,5,Ungrazed
PER P10_E_4,p,p10,g0,4,Ungrazed
PER P10_E_5,p,p10,g0,5,Ungrazed
PER P11_E_4,p,p11,g0,4,Ungrazed
