response,subset,term,contrast,bt_estimate,bt_conf_low,bt_conf_high,p_value,statistic,estimate_raw,model_name,model_formula,abbr_term,abbr_contrast,abbr_subset
abundance,Native,Grazing treatment,Grazed - Ungrazed,1.99,1.385143334,2.846708165,1.89E-04,3.732870919,0.68598446,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,nat
abundance,Native,Plot type,WAN - PER,1.610351946,0.830560283,3.122269924,0.158423499,1.410393583,0.476453755,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),plot_type,w - p,nat
abundance,Native,Year,2020 - 2019,0.980333062,0.601868194,1.59678302,0.936399781,-0.079795653,-0.019861906,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y5 - y4,nat
abundance,Native,Year,2021 - 2019,1.156116977,0.806873763,1.656524882,0.429202245,0.790557519,0.145067956,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y4,nat
abundance,Native,Year,2021 - 2020,1.179309223,0.762108309,1.824898411,0.459055494,0.740403009,0.164929863,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y5,nat
abundance,Native,Year,2022 - 2019,1.459368673,1.016547086,2.095089301,0.040469277,2.048926763,0.378004927,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y4,nat
abundance,Native,Year,2022 - 2020,1.488644289,0.95985776,2.308739805,0.075570833,1.776984238,0.397866833,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y5,nat
abundance,Native,Year,2022 - 2021,1.262300652,0.915180462,1.741080586,0.155681294,1.419747193,0.23293697,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y6,nat
abundance,Native forb,Grazing treatment,Grazed - Ungrazed,2.24,1.568176567,3.195024768,9.08E-06,4.438085127,0.805755181,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,frb
abundance,Native forb,Plot type,WAN - PER,2.442682486,0.543457424,10.97914475,0.244137465,1.164707369,0.893097815,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),plot_type,w - p,frb
