response,subset,term,contrast,bt_estimate,bt_conf_low,bt_conf_high,p_value,statistic,estimate_raw,model_name,model_formula,abbr_term,abbr_contrast,abbr_subset
abundance,Native,Grazing treatment,Grazed - Ungrazed,1.985723756352073,1.385143333504277,2.8467081645372643,1.8930962277474706e-4,3.7328709190024956,0.6859844604558955,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,nat
abundance,Native,Plot type,WAN - PER,1.610351945931847,0.830560282517648,3.122269923509597,0.158423499050244,1.4103935833051113,0.47645375506455123,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),plot_type,w - p,nat
abundance,Native,Year,2020 - 2019,0.9803330617998449,0.6018681939312625,1.5967830195187511,0.9363997814211853,-0.07979565335633107,-0.01986190607706713,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y5 - y4,nat
abundance,Native,Year,2021 - 2019,1.1561169771820197,0.8068737630235263,1.656524881810438,0.42920224466711554,0.7905575191006885,0.14506795646461504,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y4,nat
abundance,Native,Year,2021 - 2020,1.1793092226666797,0.7621083093679125,1.824898410857354,0.45905549358676256,0.7404030089766849,0.1649298625416828,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y5,nat
abundance,Native,Year,2022 - 2019,1.4593686731350084,1.0165470861219008,2.095089301030608,0.040469276841283985,2.048926763458151,0.3780049265406797,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y4,nat
abundance,Native,Year,2022 - 2020,1.4886442890008507,0.9598577604680303,2.308739805462726,0.07557083325294855,1.776984237715146,0.3978668326177415,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y5,nat
abundance,Native,Year,2022 - 2021,1.2623006517248803,0.915180462064802,1.7410805861721204,0.15568129359976224,1.4197471927483873,0.2329369700760626,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y7 - y6,nat
abundance,Native forb,Grazing treatment,Grazed - Ungrazed,2.238384009088964,1.5681765672360273,3.1950247675082566,9.076272493357962e-6,4.438085126740146,0.8057551810012049,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,frb
abundance,Native forb,Plot type,WAN - PER,2.4426824855915887,0.5434574241956018,10.979144749466816,0.2441374649940986,1.1647073693114023,0.8930978147710092,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),plot_type,w - p,frb
abundance,Native forb,Year,2020 - 2019,0.9922143674580479,0.6048268110530569,1.6277210814713903,0.975313999609253,-0.030944251001681185,-0.007815098814820082,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y5 - y4,frb
abundance,Native forb,Year,2021 - 2019,1.2394732713707712,0.8674390018897895,1.771068613580453,0.23839962484735988,1.178996361058504,0.21468750821927063,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y4,frb
abundance,Native forb,Year,2021 - 2020,1.2491978271525315,0.8071360181417713,1.9333732806959303,0.31805076991095405,0.9984715160430476,0.22250260703408858,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),f_year,y6 - y5,frb
