response,subset,term,contrast,bt_estimate,bt_conf_low,bt_conf_high,p_value,statistic,estimate_raw,model_name,model_formula,abbr_term,abbr_contrast,abbr_subset
richness,Native,Grazing treatment,Grazed - Ungrazed,1.561243216959664,1.0770570558758474,2.0454293780434805,2.6182922496786887e-10,6.319842908146825,1.561243216959664,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,nat
richness,Native,Year,2020 - 2019,0.23143676427822546,-0.7649005539075536,1.2277740824640047,0.6489112289089514,0.4552752510663535,0.23143676427822546,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y5 - y4,nat
richness,Native,Year,2021 - 2019,-0.526540990060362,-1.2521016100968565,0.19901962997613243,0.15492457893167444,-1.4223503156090032,-0.526540990060362,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y4,nat
richness,Native,Year,2021 - 2020,-0.7579777543385889,-1.6171337861000656,0.10117827742288776,0.08378236749529822,-1.7291493566544907,-0.7579777543385889,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y5,nat
richness,Native,Year,2022 - 2019,0.48734545933280277,-0.2694138032982543,1.24410472196386,0.20687777612935876,1.2621973664392419,0.48734545933280277,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y4,nat
richness,Native,Year,2022 - 2020,0.25590869505457775,-0.625242102523496,1.1370594926326514,0.5692044095089166,0.569223596024918,0.25590869505457775,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y5,nat
richness,Native,Year,2022 - 2021,1.0138864493931659,0.3689978961586997,1.658775002627632,0.002060067727427173,3.0814330867822135,1.0138864493931659,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y6,nat
richness,Native forb,Grazing treatment,Grazed - Ungrazed,1.7455927324707854,1.2602075772833756,2.230977887658195,1.8069989948799048e-12,7.048626952747697,1.7455927324707854,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,frb
richness,Native forb,Year,2020 - 2019,0.20673075253255674,-0.7387731771211694,1.1522346821862828,0.6682591146448855,0.428538493339806,0.20673075253255674,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y5 - y4,frb
richness,Native forb,Year,2021 - 2019,-0.3153474302861108,-1.006629808740005,0.3759349481677833,0.37127300852437894,-0.8940913659051926,-0.3153474302861108,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y4,frb
richness,Native forb,Year,2021 - 2020,-0.5220781828186675,-1.3469380928424184,0.30278172720508356,0.21478347097923378,-1.24051905421036,-0.5220781828186675,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y6 - y5,frb
richness,Native forb,Year,2022 - 2019,0.7676085515456902,0.042181792303137455,1.493035310788243,0.03808571041522635,2.073931097917319,0.7676085515456902,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y4,frb
richness,Native forb,Year,2022 - 2020,0.5608777990131336,-0.2881953105441044,1.4099509085703716,0.19542157327126009,1.2947062784347079,0.5608777990131336,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y5,frb
richness,Native forb,Year,2022 - 2021,1.082955981831801,0.4560637155957893,1.709848248067813,7.096164719682108e-4,3.385836507406275,1.082955981831801,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),f_year,y7 - y6,frb
richness,Non-native,Grazing treatment,Grazed - Ungrazed,0.017296309721887455,0.002343316853253956,0.046063054663338494,0.0019248621120762088,3.101587138295225,0.1315154352990076,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),treatment,Grazed - Ungrazed,non
richness,Non-native,Year,2020 - 2019,0.011578142375633002,0.05528426035842371,3.969059430876133e-4,0.09817459379285798,-1.6537683264819278,-0.10760177682377277,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y5 - y4,non
richness,Non-native,Year,2021 - 2019,0.14884917854897925,0.22981313800393133,0.08539910005685998,6.661338147750939e-16,-8.08062798413809,-0.38580976989830007,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y6 - y4,non
richness,Non-native,Year,2021 - 2020,0.07739968741055626,0.15367864431129813,0.027026474754536782,1.6587471807216758e-6,-4.791093599746391,-0.27820799307452737,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y6 - y5,non
richness,Non-native,Year,2022 - 2019,0.1342084322939709,0.21197914034518328,0.07413501329929123,2.2870594307278225e-14,-7.633076558428662,-0.3663446905497211,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y4,non
richness,Non-native,Year,2022 - 2020,0.0669478954033935,0.13923103335669798,0.020836656487665164,9.285957173643666e-6,-4.4331654019871465,-0.25874291372594826,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y5,non
richness,Non-native,Year,2022 - 2021,3.788893140464981e-4,0.004113273023162826,0.010622386437810848,0.648137902224843,0.4563505733281979,0.01946507934857955,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),f_year,y7 - y6,non
