response,subset,treatment,bt_estimate,bt_conf_low,bt_conf_high,p_value,statistic,model_name,model_formula,abbr_subset
abundance,Native,Ungrazed,9.19300553418574,5.856453070421272,14.43046665538985,0,9.643118026930814,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),nat
abundance,Native,Grazed,18.35595673309215,13.085944191996635,25.74832527508594,0,16.853271056692623,mod_abun_nat,treatment + f_year + plot_type + (1 + treatment | plot_name),nat
abundance,Native forb,Ungrazed,6.623625933963406,2.9905847408623547,14.670181357382868,3.1604878192315056e-6,4.660104568044428,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),frb
abundance,Native forb,Grazed,14.772375790327507,6.91422990778403,31.561444933293156,3.6044500717480332e-12,6.951883568669882,mod_abun_frb,treatment + f_year + plot_type + (1 + treatment | plot_name),frb
abundance,Non-native,Ungrazed,50.84030345096375,44.86374111494688,57.19045699847847,0,32.334699580478386,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),non
abundance,Non-native,Grazed,50.75774144280653,44.78618562716342,57.10288846986712,0,32.30843398107305,mod_abun_non,treatment + f_year + f_two_yr + (1 | plot_name),non
richness,Native,Ungrazed,5.206891310325102,4.979713606316032,5.434069014334172,0,44.92218760712688,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),nat
richness,Native,Grazed,6.775038209904738,6.50551819192908,7.044558227880397,0,49.26844018871831,mod_rich_nat,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),nat
richness,Native forb,Ungrazed,4.671630934735054,4.4561267754270695,4.887135094043039,0,42.487478712920705,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),frb
richness,Native forb,Grazed,6.4087449811304,6.144279176628191,6.673210785632608,0,47.49540067291582,mod_rich_frb,treatment + f_year + (1 | plot_type) + (1 + treatment | plot_name),frb
richness,Non-native,Ungrazed,7.097115666781528,6.654791988863265,7.553670160523847,0,61.899783706213846,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),non
richness,Non-native,Grazed,7.810039365599142,7.291904052547335,8.34595671142436,0,58.08968174596787,mod_rich_non,treatment + f_year + (1 + treatment | plot_name),non
